Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
354/R,2013-06-11,Agnieszka Maierhöfer,Herzogstrasse 22 93413 Cham ,Niemcy,osoba fizyczna prowadząca działalność gospodarczą,"Tłumaczenia, consulting, import-eksport i handel nawozami, import mebli, zabawek, przedstawicielstwo handlu artykułami spożywczymi i drogeryjnymi, sprzedaż samochodów, prywatne pośrednictwo pracy, doradztwo przedsiębiorstw w branży budowlanej, pośrednictwo ubezpieczeniowe, zleceń pracy, ogólne doradztwo przedsiębiorstw, prace dozorcy.",Agnieszka Frajman,Al. Powstańców Wielkopolskich 32,63-740,Kobylin,wielkopolskie,Wykreślone 11-07-2020,
359/R,2014-01-16,"Towarystwo z obmeżenoju widpowidalnistju ""Kompanja Diksi Konsalt"" (nazwa skrócona: Dixi Consult Ltd)",ul. Zełena 109 79035 Lwów,Ukraina,spółka z o.o.,"Usługi prawne i consultingowe, pośrednictwo handlowe, kojarzenie partnerów biznesowych.",Anna Kowalik,ul. Wielicka 25/108,30-552,Kraków,małopolskie,Wykreślone 11-07-2020,
360/R,2014-01-27,ExpoGold GmbH,Gumpendorferstraße 91/Top GL B/V (T102) 1060 Wiedeń,Austria,spółka z o.o.,"Handel towarami wszelkiego rodzaju w szczególności handel metalami szlachetnymi takimi jak złoto, srebro, monetami.",Piotr Paweł Fabczak,ul. Baczyńskiego 16/7,05-092,Łomianki,mazowieckie,Wykreślone 11-07-2020,
361/R,2014-12-02,TimkenSteel Corporation,1835 Dueber Avenue SW OH 44706 Canton,Stany Zjednoczone Ameryki,spółka prawa Stanu Ohio,"Projektowanie, wytwarzanie oraz dystrybucja wysokojakościowej stali stopowej oraz komponentów stalowych, a także świadczenie usług przetwarzających stal i wzbogacających jej wartość.",Adrian Bacia,ul. Małachowskiego 1 A,41-200,Sosnowiec,śląskie,Wykreślone 11-07-2020,
363/R,2014-02-17,"OOO ""Swobodnyj Kaliningrad""",Zaułek Krasnodonskij 15A/2 236038 Kaliningrad,Rosja,spółka z o.o.,"Działalność wydawnicza, działalność agencji turystycznych, działalność w zakresie tworzenia i wykorzystywania baz danych i zasobów informatycznych.",Ksenia Krajewska,ul. Świerczewskiego 34 Żytkiejmy,19-504,Dubeninki,warmińsko-mazurskie,Wykreślone 11-07-2020,
364/R,2014-02-21,"Animal Science Products, Inc.",3418 Rayburn Drive 75961 Teksas Nacogdoches,Stany Zjednoczone Ameryki,spółka akcyjna,Działalność w branży pasz zwierzęcych oraz inne usługi wsparcia żywienia zwierząt.,Aleksandra Dobrzyńska,ul. Poznańska 19,64-300,Nowy Tomyśl,wielkopolskie,Wykreślone 11-07-2020,
365/R,2014-02-21,"Rx Vitamins, Inc.","150 Clerbrook Road, Suite 149 NY 10523 Elmsford  ",Stany Zjednoczone Ameryki,spółka akcyjna,Produkcja oraz dystrybucja suplementów odżywczych dla ludzi i zwierząt.,Elżbieta Grzybowska-Sobolewska,ul. Poleczki 40,02-822,Warszawa,mazowieckie,Wykreślone 11-07-2020,
368/R,2014-01-04,Project Materials GmbH,Schiesstr. 68 40549 Düsseldorf,Niemcy,spółka z o.o.,Handel i projekty związane z wyrobami stalowymi wszelkiego rodzaju oraz związane z tym czynności.,Marek Jeleński,ul. Płażyńskiego 38,44-100,Gliwice,śląskie,Aktywne,30.04.2026
369/R,2014-04-29,HP TELECOM LTD,52 Mansfield Road RG22 6DY Basingstoke,Wielka Brytania,spółka z o.o.,"Działalność w zakresie telekomunikacji przewodowej, działalność w zakresie telekomunikacji bezprzewodowej z wyłączeniem telekomunikacji satelitarnej, działalność w zakresie telekomunikacji satelitarnej, działalność w zakresie pozostałej telekomunikacji, działalność związana z doradztwem w zakresie informatyki, działalność związana z zarządzaniem urządzeniami informatycznymi oraz pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych.",Mariusz Kozłowski,ul. Wypoczynkowa 120 Paproć,64-300,Nowy Tomyśl,wielkopolskie,Wykreślone 11-07-2020,
370/R,2014-02-05,Agence Maghreb Arabe Presse (MAP),122 Avenue Allal Ben Abdellah Rabat  ,Maroko,przedsiębiorstwo publiczne,Pozyskiwanie i odpłatne udostępnianie informacji w Maroku i za granicą.,Abdelaziz Hayoun,Al. Jana Pawła II 70 lok. 30,00-175,Warszawa,mazowieckie,Wykreślone 11-07-2020,
376/R,2014-09-07,Telf AG,Via Sorengo 1 6900 Lugano,Szwajcaria,spółka akcyjna,"Uczestniczenie w innych spółkach, zawieranie umów joint-venture, transakcji pośrednictwa, zleceń handlowych, transakcji komisowych, umów zbliżonych do umów o pośrednictwo (""brocheraggio""), umów agencyjnych, umów licencji, umów franczyzowych i leasingowych, a także kupno, sprzedaż nieruchomości za granicą i zarządzanie nimi. Ponadto spółka może wydobywać surowce i minerały, kupować i sprzedawać surowce, wykonywać i organizować usługi transportowe. Może zajmować się handlem wyrobami farmaceutycznymi, medycznymi i akcesoriami dla medycyny, handlem technikami medycznymi i sprzętem medycznym oraz świadczyć za granicą usługi związane z medycyną. Spółka może wznosić budowle, przeprowadzać przebudowy, rewaloryzacje i inne prace budowlane związane z budynkami administracyjnymi, przemysłowymi i mieszkalnymi za granicą. Może kupować, sprzedawać grunty i zarządzać nimi, kupować i sprzedawać inne spółki tego samego typu lub pokrewne albo w nich uczestniczyć.",Aleksander Klim,Rondo ONZ 1,00-124,Warszawa,mazowieckie,Aktywne,30.04.2026
379/R,2014-03-10,Craemer GmbH,Brocker Str.1 33442 Herzebrock-Clarholz,Niemcy,spółka z o.o.,"Produkcja i dystrybucja wszelkiego rodzaju elementów tłoczonych, ciągnionych i wykrawanych oraz elementów odlewanych z tworzyw sztucznych, narzędzi i osprzętu.",Arkadiusz Wissuwa,ul. Polna 37 I,05-124,Skrzeszew,mazowieckie,Aktywne,30.04.2026
380/R,2014-10-10,"UAB ""Prekybos namai BMZ- Baltija"" ",Metalistu 10 LT-78151 Szawle,Litwa,zamknięta spółka akcyjna,Sprzedaż wyrobów hutniczych.,Anna Gabrylewska-Siemieniuk,"ul. Modlińska 190, lok. 227",03-119,Warszawa,mazowieckie,Wykreślone 08-09-2022,
381/R,2014-10-20,"Shandong Power Equipment Co., Ltd","No.3 Jiyi Xichang Road Shandong, Jinan City",Chiny,spółka z o.o.,"Realizacja zagranicznych projektów oraz wysyłanie pracowników do pracy przy realizacji ww. projektów. Badania, projektowanie, wytwarzanie, naprawa, sprzedaż i eksport urządzeń do transmisji i dystrybucji mocy, urządzeń i akcesoriów wspomagających dla elektrowni; import surowców oraz sprzętu; transfer technologii elektrycznej oraz wysyłanie konsultantów technologicznych.",Niu Yongli,ul. Mariensztat 8,00-302,Warszawa,mazowieckie,Wykreślone 11-07-2020,
384/R,2014-03-11,Choya Umeshu (Deutschland) GmbH,Heesenstraβe 70 40549 Düsseldorf,Niemcy,spółka z o.o.,"Import i eksport, handel napojami alkoholowymi i bezalkoholowymi oraz artykułami spożywczymi. Spółka jest uprawniona do dokonywania wszystkich czynności prawnych, które mogą bezpośrednio lub pośrednio służyć celowi spółki. ",Takehiko Okazaki,ul. Grzybowska 12/14 lok. 30,00-131,Warszawa,mazowieckie,Aktywne,30.04.2026
385/R,2014-11-14,DUBISZCZUK TETJANA (DUBISHCHUK TETIANA),ul. 15 Kwitnja 41 lok. 24 46016 Tarnopol,Ukraina,osoba fizyczna prowadząca działalność gospodarczą,Pośrednictwo handlowe wyrobów kosmetycznych i suplementów diety. Działalność agencji reklamowych. ,Iurii Dubishchuk,ul. Kościuszki 135 lok. 315,50-440,Wrocław,dolnośląskie,Wykreślone 02-07-2020,
387/R,2015-01-20,TIYA Technologies Co. Ltd.,"Hutouya, Xishili Village Province Shandong, Laizhou City ",Chiny,spółka z o.o.,"Produkcja maszyn i urządzeń z napędem elektrycznym i spalinowym dla - budownictwa: betoniarki, zagęszczarki, ubijaki, gilotyny bruku oraz - ogrodnictwa: łuparki, traktorki wielofunkcyjne z akcesoriami, szczotkarki czyszczące, piły i przyczepy ładownicze do bali drewna, rozdrabniarki i rębaki, glebogryzarki, lekkie wywrotki na gąsienicach, odśnieżarki, świdry do gruntu.",Jan Bekker,"ul. Augustówka 9 D, lok. 4",02-981,Warszawa,mazowieckie,Wykreślone 02-05-2022,
388/R,2015-04-02,"Joseph Kwon - prowadzący działalność gospodarczą pod nazwą ""NOISECENTER""","Deogi-dong,1053-5, 1F Gyeonggi-do, Goyang-si, Ilsanseo-gu",Republika Korei,osoba fizyczna prowadząca działalność gospodarczą,Produkcja części i akcesoriów do pojazdów silnikowych.,Hye Sin Park,"ul. LG 2A, Biskupice Podgórne",55-040,Kobierzyce,dolnośląskie,Wykreślone 18-06-2021,
389/R,2015-12-02,AFFIRMED NETWORKS UK LIMITED,"Lewins Mead, Whitefriars, 11th Floor BS1 2NT Bristol ,",Wielka Brytania,spółka z o.o.,"Świadczenie usług marketingowych, sprzedaży i wsparcia na rzecz spółek grupy.",Magdalena Frankenberg-Baranik,Pl. Piłsudskiego 3,00-078,Warszawa,mazowieckie,Wykreślone 11-07-2020,
393/R,2015-03-27,B Konzept Personalservice GmbH,Hanauer Landstraße 258-260 60314 Frankfurt nad Menem,Niemcy,spółka z o.o.,Pośrednictwo pracy.,Piotr Czarnowski,ul. Karsińska 4,80-178,Gdańsk,pomorskie,Wykreślone 11-07-2020,
394/R,2015-07-04,NAVAL GROUP,40/42 rue du Docteur Finlay 75015 Paryż  ,Francja,spółka Akcyjna,"Projektowanie, badanie, opracowywanie, realizacja, produkcja, montaż, przeprowadzanie badań i ocen technicznych, integracja, konserwacja, eksploatacja, zakup, sprzedaż i wynajem w odniesieniu do: wszelkich obiektów lądowych lub podwodnych, uzbrojonych lub nieuzbrojonych o przeznaczeniu militarnym i rządowym lub w powiązaniu z nimi, wszystkich systemów, podsystemów, urządzeń, sprzętu, oprogramowania i amunicji stosowanej w działalności związanej z marynarką wojenną lub lotnictwem marynarki wojennej, lub na bardziej ogólnym poziomie - obronnością, lub powiązanej, wszystkich systemów, podsystemów lub instalacji lądowych związanych z działaniami w zakresie marynarki wojennej lub lotnictwem marynarki wojennej wszelkiego rodzaju lub, na bardziej ogólnym poziomie - obronnością lub powiązanej, wszystkie transakcje i usługi związane z uruchomieniem lub likwidacją obiektów jądrowych dotyczących powyższej działalności lub z nimi powiązanej, na warunkach i zasadach ustalonych z państwem, zgodnie z obowiązującym prawem i przepisami, realizacja wszelkich usług w zakresie logistyki, szkoleń, dostaw części zamiennych i ochronnych, związanych lub w związku z powyższą działalnością, realizacja wszelkich prac (w tym, w stosownych przypadkach robót budowlanych), a także świadczenie wszystkich usług i świadczeń związanych lub w związku z powyższą działalnością, badania i analizy naukowo-techniczne, uzyskiwanie, nabywanie, eksploatacja i sprzedaż wszystkich patentów, licencji, wynalazków, procesów, znaków towarowych i wzorów związanych lub w związku z powyższą działalnością, udział Spółki, w jakikolwiek sposób, we wszelkich partnerstwach, formach współpracy, stowarzyszeniach, wszelkich operacjach dotyczących tworzenia nowych spółek, subskrypcji lub zakupu papierów wartościowych lub praw korporacyjnych, połączenia lub w inny sposób, związanych lub w związku z powyższą działalnością, na bardziej ogólnym poziomie wszelkie działania, wszelkie transakcje, bez względu na ich rodzaj, o charakterze handlowym, przemysłowym, technicznym, finansowym, dotyczące ruchomości i nieruchomości, zarówno na rzecz osób trzecich i na rachunek własny lub poprzez uczestnictwo, w dowolnej formie, w związku bezpośrednim lub pośrednim z powyższym przedmiotem działalności lub wszelkimi podobnymi przedmiotami działalności lub pokrewnymi lub zawodami, produktami i know-how stosowanymi przez Spółkę w celu wspomagania jej rozwoju. ",Janusz Józef Przyklang,"ul. Złota 59, Budynek Skylight",00-120,Warszawa,mazowieckie,Wykreślone 31-12-2020,
395/R,2015-04-13,"AVIATION LABOUR SUPPLY AND IMPORT - EXPORT JOINT STOCK COMPANY (nazwa skrócona: ALSIMEXCO., JSC)","Quan Long Bien, Phuong Bo De, pho Nguyen Son ngo 200/10, So 1 Hanoi",Wietnam,spółka akcyjna,"Działalność w zakresie turystyki krajowej i międzynarodowej, wyszukiwanie personelu i zarządzanie zasobami ludzkimi oraz prowadzenie szkoleń zawodowych.","Luong Tuan Duc, Luong Hoang Ha (reprezentacja łączna)",ul. Herbu Janina 7 A m. 29,02-972,Warszawa,mazowieckie,Aktywne,30.04.2026
397/R,2015-04-05,"MobileIron International, Inc.","615 South Dupont Highway Delaware 19901, Kent, Dover",Stany Zjednoczone Ameryki,spółka akcyjna,Zarządzanie za pomocą inteligentnych technologii na bazie przepływu danych.,Christian Guy Gaunt,"ul. Złota 59, Złote Tarasy",00-120,Warszawa,mazowieckie,Wykreślone 17-03-2022,
398/R,2015-10-06,"American Heart Association, Inc.","1218 Central Avenue, Suite 100 Nowy Jork 12205, Albany",Stany Zjednoczone Ameryki,spółka prawa stanu Nowy Jork,"Sprzedaż produktów i usług (np. książki i inne systemy i materiały edukacyjne) różnym klientom, związanych z upowszechnianiem wiedzy na temat prewencji chorób serca i układu krążenia, sprzedaż towarów on-line, usługi reklamowe, działalność inwestycyjna w akcje, fundusze i inne papiery wartościowe.",John Meiners,"ul. Marszałkowska 126/134, III piętro",00-008,Warszawa,mazowieckie,Wykreślone 01-05-2022,
405/R,2015-09-17,"OVTZ ""MAKS-AVTO"" Towarystwo z obmeżenoju widpowidalnistju",Prospiekt Peremohy 03115 Kijów  ,Ukraina,spółka z o.o.,Obsługa techniczna i naprawa pojazdów samochodowych. Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych. Sprzedaż detaliczna paliw. Działalność usługowa taksówek. Transport drogowy towarów. Leasing finansowy. ,Wiesław Ciesielski,ul. Cynamonowa 16 lok.1,35-232,Rzeszów,podkarpackie,Wykreślone 11-07-2020,
407/R,2015-03-11,LIGEN TECHNICAL CORPORATION,"Shuiguan 293 Street Kaohsiung City 814, Renwu District",Chiny/Tajwan,jednoosobowa spółka ,Produkcja wyrobów z plastiku. Handel międzynarodowy. Sprzedaż hurtowa form. Sprzedaż maszyn.,Michał Sobczyk,ul. Klimczoka 6/5,40-857,Katowice,śląskie,Wykreślone 01-05-2022,
408/R,2015-05-11,I.R.C.A. S.P.A. Industria Resistenze Corazzate e Affini,Viale Venezia 31 31020 San Vendemiano,Włochy,spółka akcyjna,"Produkcja i handel ogólnie zespołami grzewczymi i elektrycznymi, w szczególności częściami składowymi i systemami elektromechanicznymi dla przemysłu.",Jakub Bok,Pl. Powstańców Warszawy 2 A,00-030,Warszawa,mazowieckie,Wykreślone 11-07-2020,
409/R,2015-12-21,Sparkle Export Development Limited,10-12 Baches Street N1 6DL Londyn,Wielka Brytania,spółka z o.o.,Czynności agencyjne w zakresie sprzedaży maszyn i urządzeń oraz transgraniczne kojarzenie partnerów biznesowych.,Philippe Bocquet,ul. Przemysłowa 28,32-083,Balice,małopolskie,Wykreślone 11-07-2020,
410/R,2016-09-02,SIA S.P.A.,Via Francesco Gonin 36/38 20147 Mediolan,Włochy,spółka akcyjna,"Spółka zajmuje się, we Włoszech i za granicą, badaniem, projektowaniem, wykonaniem, rozwojem i obsługą m.in.: infrastruktur informatycznych, systemów informacyjnych, struktur, nośników i banków danych wykorzystywanych przez systemy kredytowe i finansowe do przeprowadzania operacji międzybankowych oraz wymiany danych i informacji będących przedmiotem wspólnego zainteresowania, zarówno wewnątrz, jak i na zewnątrz systemów kredytowych i finansowych, narzędzi informatycznych i internetowych potrzebnych do funkcjonowania rynków działalności finansowej. Spółka świadczy ponadto, zarówno bezpośrednio, jak i pośrednio usługi technologiczne będące wsparciem dla działalności operatorów, elektronicznych systemów i usług płatności, także jako usług pomocniczych w stosunku do świadczenia usług o charakterze instytucjonalnym. Spółka może świadczyć także na rzecz pojedynczych banków i na rzecz osób trzecich, usługi opracowane w odniesieniu do przedmiotu własnej działalności. Spółka może ponadto przeprowadzać wszystkie operacje w zakresie ruchomości i nieruchomości, wszystkie operacje przemysłowe, handlowe i finansowe pod warunkiem, że operacje te nie będą przeprowadzane w stosunku do odbiorców publicznych. ",Roman Michał Pogorzelski,ul. Marszałkowska 126/134,00-008,Warszawa,mazowieckie,Wykreślone 01-05-2022,
412/R,2016-01-03,B + F Beton- und Fertigteilgesellschaft mbH Lauchhammer,Bockwitzer Straße 85 01979 Lauchhammer  ,Niemcy,spółka z o.o.,Produkcja wyrobów betonowych oraz elementów budowlanych prefabrykowanych oraz budowli prefabrykowanych w budownictwie i inżynierii lądowej a także budownictwo z prefabrykatów w budownictwie i inżynierii lądowej; prowadzenie działalności handlowej oraz świadczenie usług w wyżej wymienionych obszarach działalności w zakładach własnych albo zakładach spółek zależnych a także połączenie spółek zależnych pod jednym kierownictwem.,Anna Rak,ul. Jagodowa 5,45-472,Opole,opolskie,Aktywne,30.04.2026
413/R,2016-11-03,WH International Services GmbH,Renngasse 5/4 1010 Wiedeń,Austria,spółka z o.o.,Zarządzanie inwestycjami.,Krzysztof Nowak,ul. Mikołajska 4,31-027,Kraków,małopolskie,Wykreślone 01-05-2024,
416/R,2016-01-04,"SIA ""ELPIS""",Ramulu 15 LV-1005 Ryga,Łotwa,spółka z o.o.,"Hurtowy skup suszonych przypraw, ziół i warzyw. Hurtowa sprzedaż suszonych przypraw, ziół i warzyw.",Boris Šifrin,Russów 66,62-817,Żelazków,wielkopolskie,Wykreślone 27-02-2023,
417/R,2016-05-16,"Towarystwo z obmeżenoju widpowidalnistju Naukowo-Wyrobnicza Firma ""Plastmodern"" (nazwa skrócona: TOW NWF ""Plastmodern"")","ul. Dokiwska 14-A 08298 Irpień, oś Kociubińskie",Ukraina,spółka z o.o.,"Produkcja płyt, listew, rur i profili z tworzyw sztucznych. Sprzedaż hurtowa produktów chemicznych. Budownictwo mieszkaniowe i budownictwo użytkowe.",Waldemar Superson,ul. Abramowicka 85,20-391,Lublin,lubelskie,Wykreślone 01-05-2022,
418/R,2016-05-25,China Council for the Promotion of International Trade (nazwa skrócona CCPIT),1 Fuxingmenwai Street 100860 Pekin,Chiny,organizacja społeczna (osoba prawna),"Promowanie handlu zagranicznego Chińskiej Republiki Ludowej, wspieranie współpracy gospodarczej i technologicznej oraz rozwoju stosunków gospodarczych i handlowych między Chinami i innymi krajami.",Guo Peidong,"ul. Królewska 18, Budynek ""KróLEWska""",00-103,Warszawa,mazowieckie,Aktywne,30.04.2026
420/R,2016-06-29,GC EUROPE,Interleuvenlaan 33 3001 Leuven,Belgia,spółka akcyjna,"Handel hurtowy produktami farmaceutycznymi. Produkcja aparatury do celów leczniczych, stomatologicznych i weterynaryjnych. Handel hurtowy materiałami medyczno-chirurgicznymi i stomatologicznymi instrumentami oraz wyposażeniem.","Tomasz Uniowski, Joseph Richter (reprezentacja łączna)",ul. Włodzimierza Tetmajera 65D/2,31-352,Kraków,małopolskie,Aktywne,30.04.2026
421/R,2016-01-07,Adeo Services,135 rue Sadi Carnot 59790 Ronchin,Francja,spółka akcyjna uproszczona,"Kupno i sprzedaż surowców oraz ich przetwarzanie, wytwarzanie i produkcja wszelkich artykułów związanych z gospodarstwem domowym (w tym między innymi ogrodnictwem, budownictwem, dekoracją), projektowanie, zakładanie i prowadzenie sieci sklepów oraz wszelkich innych punktów sprzedaży z wyposażeniem gospodarstwa domowego (w tym między innymi ogrodnictwem, budownictwem, dekoracją), zarządzanie przedsiębiorstwem.",David Romain Champy,ul. Chłodna 51 (piętro 26),00-867,Warszawa,mazowieckie,Wykreślone 01-05-2022,
